CMAC,Clasificacion,Agencias,Notch,nivel_sintesis
CMAC Arequipa,A-,"A- (JCR Latino América), A- (PCR)",11.0,Fortaleza alta
CMAC Cusco,A-,"A- (Apoyo & Asociados), A- (JCR Latino América), A- (PCR)",11.0,Fortaleza alta
CMAC Huancayo,A- / B+,"A- (JCR Latino América), B+ (Moody’s Local PE), A- (PCR)",10.666666666666666,Fortaleza alta
CMAC Ica,B+,"B+ (JCR Latino América), B+ (PCR)",10.0,Fortaleza buena/media
CMAC Trujillo,B+,"B+ (Apoyo & Asociados), B+ (Moody’s Local PE)",10.0,Fortaleza buena/media
CMAC Piura,B,"B (MicroRate), B (Moody’s Local PE)",9.0,Fortaleza buena/media
CMAC Maynas,B-,"B- (Apoyo & Asociados), B- (Moody’s Local PE)",8.0,Fortaleza buena/media
CMCP Lima,C+,"C+ (JCR Latino América), C+ (MicroRate)",7.0,Fortaleza suficiente/limitada
CMAC Tacna,C,"C (JCR Latino América), C (Moody’s Local PE)",6.0,Fortaleza suficiente/limitada
CMAC Paita,C,"C (Apoyo & Asociados), C (MicroRate)",6.0,Fortaleza suficiente/limitada
CMAC Del Santa,C- / D+,"C- (Apoyo & Asociados), D+ (MicroRate)",4.5,Fortaleza suficiente/limitada
CMAC Sullana,sin clasificación vigente,,,Sin clasificación
